months_as_customer,age,policy_state,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,auto_make,auto_model,injury_share,property_share,target,days_since_bind,incident_month,vehicle_age,collision_type_missing,authorities_contacted_missing,property_damage_missing,police_report_available_missing,hour_sin,hour_cos,hour_bin_4,csl_per_person,csl_per_incident
5,26,IL,2000,1137.02,0,FEMALE,PhD,farming-fishing,skydiving,not-in-family,31500,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,WV,Springfield,22,1,YES,1,3,Missing,88110,Audi,A5,0.1818181818181818,0.1818181818181818,0,182,1,12,0,0,0,1,-0.5000000000000004,0.8660254037844384,Evening (18-23),250,500
160,33,IL,1000,1422.78,0,FEMALE,High School,exec-managerial,exercise,husband,61600,0,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,NC,Riverwood,17,3,Missing,2,3,YES,52800,Nissan,Pathfinder,0.1,0.1,0,2172,1,9,0,0,1,0,-0.9659258262890684,-0.2588190451025206,Afternoon (12-17),500,1000
385,51,IN,1000,976.37,0,FEMALE,MD,craft-repair,reading,husband,0,-61000,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,WV,Riverwood,14,3,Missing,1,3,Missing,67600,Suburu,Legacy,0.2,0.1,0,8979,2,8,0,0,1,1,-0.5000000000000001,-0.8660254037844386,Afternoon (12-17),250,500
446,57,IN,2000,1373.21,0,MALE,College,adm-clerical,sleeping,unmarried,42700,-64900,Multi-vehicle Collision,Front Collision,Total Loss,Police,SC,Northbrook,10,3,NO,0,0,NO,62800,Jeep,Wrangler,0.1,0.2,0,8102,2,3,0,0,0,0,0.4999999999999999,-0.8660254037844387,Morning (6-11),100,300
84,29,OH,1000,1117.17,0,FEMALE,High School,machine-op-inspct,video-games,not-in-family,0,-29900,Parked Car,Missing,Trivial Damage,Police,SC,Arlington,6,1,YES,2,0,YES,6820,BMW,3 Series,0.0909090909090909,0.1818181818181818,0,4327,2,10,1,0,0,0,1.0,6.123233995736766e-17,Morning (6-11),250,500
276,45,IL,500,948.1,0,FEMALE,High School,machine-op-inspct,reading,wife,44500,-61400,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,SC,Columbus,11,3,Missing,0,2,Missing,69300,Ford,Escape,0.2,0.1,0,5403,1,5,0,0,1,1,0.258819045102521,-0.9659258262890682,Morning (6-11),500,1000
303,50,IL,2000,836.11,5000000,MALE,Masters,sales,camping,not-in-family,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Fire,SC,Springfield,1,4,YES,1,2,NO,72840,Dodge,Neon,0.1666666666666666,0.0833333333333333,0,6532,1,5,0,0,0,0,0.2588190451025207,0.9659258262890684,Night (0-5),100,300
184,38,IL,1000,1437.53,0,FEMALE,College,transport-moving,chess,not-in-family,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,PA,Northbrook,6,3,Missing,0,2,NO,53730,Dodge,RAM,0.2222222222222222,0.1111111111111111,1,7448,2,2,0,0,1,0,1.0,6.123233995736766e-17,Morning (6-11),250,500
130,30,IL,2000,1193.4,0,MALE,PhD,exec-managerial,bungie-jumping,own-child,0,-40800,Multi-vehicle Collision,Side Collision,Total Loss,Other,SC,Columbus,16,3,NO,2,3,Missing,48950,Suburu,Legacy,0.1818181818181818,0.0909090909090909,0,890,2,10,0,0,0,1,-0.8660254037844384,-0.5000000000000004,Afternoon (12-17),500,1000
200,40,IL,1000,1439.34,0,FEMALE,High School,sales,exercise,other-relative,45300,-20400,Vehicle Theft,Missing,Minor Damage,Police,VA,Riverwood,9,1,Missing,0,0,NO,3690,Ford,Escape,0.1111111111111111,0.1111111111111111,0,1696,1,0,1,0,1,0,0.7071067811865476,-0.7071067811865475,Morning (6-11),100,300
